Timestamp,Building 74 - kWh Total Electricity (kWh),Electricity Consumption Forecast
2014-01-02 18:15:00,26.4125,32.450238674851306
2014-01-02 18:30:00,28.1875,33.376736468924165
2014-01-02 18:45:00,28.8125,33.42673178257174
2014-01-02 19:00:00,28.6175,32.89534315791393
2014-01-02 19:15:00,26.9625,32.37692085639813
2014-01-02 19:30:00,25.08,31.930855785648724
2014-01-02 19:45:00,27.845,32.97636447992832
2014-01-02 20:00:00,27.6475,33.890122301707386
2014-01-02 20:15:00,24.17,32.58540343766351
2014-01-02 20:30:00,26.9075,33.42636858849975
2014-01-02 20:45:00,29.355,34.52014944215405
2014-01-02 21:00:00,26.93,33.177086955025594
2014-01-02 21:15:00,24.5625,33.46466889663754
2014-01-02 21:30:00,25.5725,33.54399795806625
2014-01-02 21:45:00,26.0375,33.9158689688807
2014-01-02 22:00:00,26.2675,33.90102520775839
2014-01-02 22:15:00,24.6475,32.743821706290795
2014-01-02 22:30:00,26.11,32.70280937813175
2014-01-02 22:45:00,24.8375,34.21866921394905
2014-01-02 23:00:00,22.7725,33.64515602393361
2014-01-02 23:15:00,23.9475,34.359080523752816
2014-01-02 23:30:00,23.8775,33.74609087304992
2014-01-02 23:45:00,24.245,35.21239208288737
2014-01-03 00:00:00,22.955,34.47700065701383
2014-01-03 00:15:00,24.66,35.06258640811532
2014-01-03 00:30:00,23.1775,36.00108089458559
2014-01-03 00:45:00,22.47,36.06439176502593
2014-01-03 01:00:00,23.105,35.5467502592
2014-01-03 01:15:00,21.555,35.04167397046321
2014-01-03 01:30:00,23.905,34.609520621137854
2014-01-03 01:45:00,25.2675,35.66900210812718
2014-01-03 02:00:00,24.405,36.59581095542521
2014-01-03 02:15:00,23.1575,35.30582366296658
